"ROI_604","centile_10","centile_25","centile_50","centile_75","centile_90"
68.5338809034908,434555.096047032,468321.539014996,509166.884867976,553855.618946072,597683.343978273
69.5338809034908,433165.245670028,466800.660805016,507497.594373338,552036.804258811,595731.038085659
70.5338809034908,431863.926979926,465375.378610543,505932.355560898,550331.192682878,593900.823660298
71.5338809034908,430456.061925686,463835.451910129,504242.591200424,548490.150330588,591924.401977266
72.5338809034908,429017.866536629,462263.026762017,502517.616677629,546610.831377022,589906.609546922
73.5338809034908,427557.849789704,460667.275486016,500767.405881867,544704.085440702,587859.153377285
74.5338809034908,426084.69433205,459057.555311396,499002.131983457,542780.978138641,585793.973890592
75.5338809034908,424606.98446299,457443.115659416,497231.849686059,540852.445963261,583722.872961883
76.5338809034908,423132.980338077,455832.854932217,495466.23089168,538929.008764746,581657.203595303
77.5338809034908,421668.91214783,454233.482872318,493712.567186897,537018.596788555,579605.524350813
78.5338809034908,420219.888875734,452650.500086427,491976.834953848,535127.709408878,577574.849877912
79.5338809034908,418790.939079307,451089.319498893,490264.914555543,533262.741430314,575572.082463878
80.5338809034908,417386.349749786,449554.554408365,488581.816757564,531429.141842573,573603.104186396
81.5338809034908,416007.892083121,448048.108139301,486929.607140557,529629.156694993,571670.340972295
82.5338809034908,414656.754237893,446571.255852464,485309.668510352,527864.289486843,569775.417554574
83.5338809034908,413334.087378257,445125.232633639,483723.339957889,526135.996138036,567919.907425477
84.5338809034908,412039.563125319,443709.680149409,482170.228967796,524443.84921615,566103.35133511
85.5338809034908,410770.554517763,442321.765122899,480647.253829725,522784.496506737,564322.1329944
86.5338809034908,409524.267746841,440958.47518787,479151.138623648,521154.374644469,562572.407940122
87.5338809034908,408297.918123002,439616.808380083,477678.619128488,519549.93305644,560850.345239442
88.5338809034908,407088.401784849,438293.419620716,476226.058638046,517967.216026778,559151.676247951
89.5338809034908,405892.398877911,436984.731897961,474789.568840138,516401.994206005,557471.836563596
90.5338809034908,404706.615969826,435687.197337079,473365.293555964,514850.073284562,555806.299288502
91.5338809034908,403528.380136113,434397.936801847,471950.103723041,513308.049984275,554151.391282818
92.5338809034908,402356.590511125,433115.763928165,470542.709683981,511774.521652893,552505.598965112
93.5338809034908,401188.143235258,431837.335688443,469139.477895382,510245.535194844,550864.653957788
94.5338809034908,400020.138185562,430559.529028452,467737.014274168,508717.398092985,549224.568957886
