ROI,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
H_MUSE_Volume_104,60,0.000950097027576338,0.00101484669338423,0.00113096373560497,0.00127270823024512,0.00142479983697631,0.00156705455157945,0.00165462411581045
H_MUSE_Volume_104,61,0.000943770288142426,0.00100884407220038,0.00112502959548959,0.00126590940648684,0.00141698558671389,0.00155914329404057,0.00164703880380389
H_MUSE_Volume_104,62,0.00093748116013971,0.00100288116570173,0.00111913482963668,0.00125914657875317,0.00140920435007555,0.00155126322128599,0.00163948520649348
H_MUSE_Volume_104,63,0.000931229863281057,0.0009969581804212,0.0011132795623972,0.00125241992184599,0.00140145637906158,0.00154341449207315,0.00163196342819915
H_MUSE_Volume_104,64,0.000925016671981392,0.000991075379339633,0.00110746397731207,0.00124572967457805,0.00139374199448959,0.00153559733751482,0.00162447364714132
H_MUSE_Volume_104,65,0.000918841860145892,0.000985233024070079,0.00110168825498358,0.00123907607292718,0.00138606151433874,0.00152781198485135,0.00161701603632001
H_MUSE_Volume_104,66,0.000912705708004721,0.000979431381793991,0.00109595258018003,0.00123245935726987,0.00137841526106194,0.00152005866485508,0.00160959077094277
H_MUSE_Volume_104,67,0.00090660853538848,0.000973670759567347,0.00109025717773107,0.00122587980975244,0.00137080360031894,0.00151233765193603,0.00160219806937671
H_MUSE_Volume_104,68,0.000900550667346581,0.000967951468864395,0.00108460227545524,0.00121933771569476,0.00136322690096745,0.00150464922280547,0.0015948381509481
H_MUSE_Volume_104,69,0.000894532411201255,0.00096227380145211,0.00107898807813089,0.00121283333552364,0.00135568550489057,0.00149699362424365,0.0015875112023602
H_MUSE_Volume_104,70,0.000888553915297763,0.000956637878461262,0.00107341460008864,0.00120636671871941,0.00134817952110388,0.0014893708474886,0.00158021713936729
H_MUSE_Volume_104,71,0.000882615219360207,0.000951043703539881,0.00106788172359588,0.00119993776887121,0.00134070889795468,0.00148178070686726,0.00157295568920479
H_MUSE_Volume_104,72,0.000876716361992182,0.000945491277324871,0.0010623893255096,0.00119354638453597,0.00133327357910846,0.00147422301048456,0.001565726570537
H_MUSE_Volume_104,73,0.000870857332657631,0.000939980545070268,0.00105693721773532,0.00118719239197541,0.00132587342805528,0.00146669747612558,0.00155852940359316
H_MUSE_Volume_104,74,0.000865038030577151,0.000934511351541675,0.00105152509573203,0.00118087548712967,0.00131850816315233,0.00145920365871404,0.00155136363238898
H_MUSE_Volume_104,75,0.000859258350675081,0.000929083534186293,0.00104615264402009,0.00117459535492961,0.0013111774916521,0.00145174109933522,0.00154422868349585
H_MUSE_Volume_104,76,0.000853518172385101,0.000923696910820515,0.00104081952209959,0.00116835165333482,0.00130388109172127,0.00144430930515214,0.00153712394450824
H_MUSE_Volume_104,77,0.000847817266989488,0.000918351178280342,0.00103552524879115,0.00116214388233041,0.00129661846508803,0.00143690758482773,0.00153004858789964
H_MUSE_Volume_104,78,0.000842155377320972,0.000913045998845216,0.00103026930032096,0.00115597149532939,0.00128938906267631,0.00142953518843852,0.00152300172011115
H_MUSE_Volume_104,79,0.000836532256801476,0.000907781042753286,0.00102505115882676,0.00114983395435298,0.00128219234689783,0.00142219137709975,0.00151598245594667
H_MUSE_Volume_104,80,0.000830947669180354,0.000902555989158512,0.00101987031543861,0.0011437307353406,0.00127502779940248,0.00141487543360955,0.00150898993123714
H_MUSE_Volume_104,81,0.000825401388343956,0.000897370525791557,0.00101472626976476,0.00113766132738718,0.00126789492000685,0.00140758666114462,0.00150202330136208
H_MUSE_Volume_104,82,0.000819893198451651,0.000892224347883765,0.00100961852691354,0.00113162522776677,0.00126079321948175,0.00140032437350504,0.00149508172964379
H_MUSE_Volume_104,83,0.000814422935796681,0.000887117204085421,0.00100454665022014,0.00112562200190742,0.00125372228722057,0.00139308797103738,0.00148816446878734
H_MUSE_Volume_104,84,0.000808990546951831,0.000882048960652654,0.000999510335306512,0.00111965136757823,0.00124668188615266,0.00138587704742832,0.00148127097580397
H_MUSE_Volume_104,85,0.000803595999378986,0.000877019503529468,0.000994509297988359,0.00111371306731162,0.00123967180861993,0.0013786912283839,0.00147440073923612
H_MUSE_Volume_104,86,0.000798239266350433,0.000872028721632771,0.000989543254958491,0.0011078068462876,0.00123269185125003,0.00137153014335077,0.00146755324871607
H_MUSE_Volume_104,87,0.000792920329288825,0.000867076508627119,0.00098461192470117,0.00110193245229225,0.00122574181382151,0.00136439342317114,0.00146072799171319
H_MUSE_Volume_104,88,0.000787639176187961,0.000862162761588573,0.000979715026751311,0.00109608963569943,0.00121882150004419,0.00135728070176766,0.00145392445578858
H_MUSE_Volume_104,89,0.000782395800680535,0.000857287380284335,0.000974852281496461,0.00109027814986974,0.00121193071860737,0.00135019161796489,0.00144714213090998
